business_name,phone_number,star_rating,total_reviews,address,neighborhood,website,service_type,is_24h,last_updated,status,Identifies as women-owned,LGBTQ+ friendly
Eletricista Aragao,12982004810,"4,8",16,"R. Nazaré - Jardim Satélite, São José dos Campos - SP, 12230-670",Jd Satélite,N/A,Eletricista,Y,2025-10-03,Active,N/A,Y
JT ELÉTRICA E SOLUÇÕES,11948086999,"5,0",8,"R. Egle Carnevali, 223 - Jardim das Industrias, São José dos Campos - SP, 12240-490",Jd das Indústrias,https://www.instagram.com/jt_eletrica_e_solucoes?igsh=amc3ZWxzNzgyeGZt,Eletricista,N,2025-10-03,Active,Y,N/A
VS- Instalações Elétricas e manutenção,12996176258,"5,0",19,"R. Angical, 611 - Jardim Vale do Sol, São José dos Campos - SP, 12238-110",Jd Vale do Sol,N/A,Eletricista,N,2025-10-03,Active,N/A,N/A
MR SERVICE / PINTURA / ELÉTRICA,12992071651,"5,0",80,"Av. Alfredo Ignácio Nogueira Penido - Aquarius, São José dos Campos - SP, 12246-000",Aquarius,N/A,Eletricista,N,2025-10-03,Active,N/A,N/A
GAMATEC Elétrica - Serviços de Elétrica,12988473739,"5,0",159,"Av. Dr. Nélson d'Ávila, 389 - Sala 141 B - Centro, São José dos Campos - SP, 12245-641",Centro,https://www.gamateceletrica.com.br/,Eletricista,N,2025-10-03,Active,N/A,N/A
Disk Manutenção instalações elétricas,12982704337,"5,0",52,"R. Itabaiana, 378 - Conj. Res. Trinta e Um de Marco, São José dos Campos - SP, 12237-540",Conj Res 31 de Março,https://diskmanutencao.com.br/,Eletricista,Y,2025-10-03,Active,Y,N/A
Biem Elétrica | Eletricista,12991735614,"5,0",67,"R. Antônio Marcos de Oliveira - Jardim Mariana II, São José dos Campos - SP, 12226-870",Jardim Mariana 2,Instagram,Eletricista,Y,2025-10-03,Active,N/A,Y
Eletricista Fabio,12997712820,"5,0",15,"R. Maurício Cardoso, 55 - Jardim Sul, São José dos Campos - SP, 12236-495",Jardim Sul,N/A,Eletricista,N,2025-10-03,Active,Y,N/A
Oliveira Eletricista Residencial - Comercial 24 horas SJC,12981157934,"5,0",40,"R. Rio São Francisco, 174 - Jardim Pararangaba, São José dos Campos - SP, 12224-730",Jardim Pararangaba,https://instagram.com/oliveiraservicoseletricos?utm_medium=copy_link,Eletricista,Y,2025-10-03,Active,Y,Y
The Flash Services Pintor Eletricista e Marido de Aluguel SJC,12983100107,"5,0",39,"R. Armando D'Oliveira Cobra, 50 - Sala 304 - Parque Res. Aquarius, São José dos Campos - SP, 12246-002",Aquarius,https://clasp.com.br/the-flash-services-pintura-e-manutencao-em-geral-parque-res.-aquarius-sao-jose-dos-campos-sp/a/OTkwNjg4,Eletricista,N,2025-10-03,Active,N/A,N/A
